French,English
partie,part
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
affaire,case
type,type
leurs,their
donné,given
endroit,place
façon,way
écoute,listen
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
venu,came
pardon,sorry
venez,come
demandé,request
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
